역이름,y,x,호선,geometry
중화,37.602545,127.079264,[7],POINT (127.079264 37.602545)
천왕,37.486637,126.838713,[7],POINT (126.838713 37.486637)
철산,37.47605,126.867911,[7],POINT (126.867911 37.47605)
청담,37.519365,127.05335,[7],POINT (127.05335 37.519365)
하계,37.636352,127.06799,[7],POINT (127.06799 37.636352)
학동,37.514229,127.031656,[7],POINT (127.031656 37.514229)
강동구청,37.530341,127.120508,[8],POINT (127.120508 37.530341)
남위례,37.46293825,127.1394473,[8],POINT (127.1394473 37.46293825)
남한산성입구(성남법원.검찰청),37.451535,127.159816,[8],POINT (127.159816 37.451535)
단대오거리,37.44521,127.156866,[8],POINT (127.156866 37.44521)
모란,37.43213,127.129087,[8],POINT (127.129087 37.43213)
몽촌토성(평화의문),37.517409,127.112359,[8],POINT (127.112359 37.517409)
문정,37.485855,127.1225,[8],POINT (127.1225 37.485855)
복정,37.470047,127.126662,[8],POINT (127.126662 37.470047)
산성,37.457122,127.149908,[8],POINT (127.149908 37.457122)
석촌,37.505431,127.106979,"[8, 9]",POINT (127.106979 37.505431)
송파,37.499703,127.112183,[8],POINT (127.112183 37.499703)
수진,37.437428,127.140722,[8],POINT (127.140722 37.437428)
신흥,37.440918,127.147564,[8],POINT (127.147564 37.440918)
암사,37.55021,127.127562,[8],POINT (127.127562 37.55021)
장지,37.478703,127.126191,[8],POINT (127.126191 37.478703)
언주,37.507287,127.033868,[9],POINT (127.033868 37.507287)
선정릉,37.51098,127.043593,[9],POINT (127.043593 37.51098)
삼성중앙,37.513011,127.053282,[9],POINT (127.053282 37.513011)
봉은사,37.514219,127.060245,[9],POINT (127.060245 37.514219)
삼전,37.50225,127.0863,[9],POINT (127.0863 37.50225)
석촌고분,37.5038,127.0967,[9],POINT (127.0967 37.5038)
송파나루,37.50888,127.112183,[9],POINT (127.112183 37.50888)
한성백제,37.516078,127.1165,[9],POINT (127.1165 37.516078)
둔촌오륜,37.5196,127.1381,[9],POINT (127.1381 37.5196)
중앙보훈병원,37.5287,127.14936,[9],POINT (127.14936 37.5287)
